sub,session_type,n_pictures,estimated_duration_s,gap_s,actual_duration_s,actual_minus_gap_s,estimate_plus_gap_s,raw_ratio_total_actual,gap_removed_ratio,estimate_plus_gap_ratio,n_fixations_modeled_or_observed,n_trials
012,constant,12,22.5,0.85,43.53174039999999,42.68174039999999,23.35,0.5157258464710759,0.5260499597477957,0.5353929692606032,1.0,4
012,constant,18,22.0,0.85,57.76268197499985,56.91268197499985,22.85,0.3832898659113694,0.3891141640279151,0.39816591425905085,1.0,4
012,passive,9,13.25,7.7531,33.32510004999972,25.57200004999972,21.0031,0.39743458636312,0.5194319204801151,0.631939301311929,9.0,4
012,passive,12,18.25,10.516225,43.740868625000076,33.22464362500008,28.766225,0.41512388780770404,0.5478035413781865,0.6578011588160598,12.0,4
012,passive,18,25.0,15.436174999999999,58.00860492499987,42.572429924999874,40.436175,0.43068091938198483,0.5903509318060277,0.7001615948604285,18.0,4
013,active,9,13.0,7.938924999999999,28.414936374999343,20.47601137499934,20.938924999999998,0.4589946804730298,0.6385603036032337,0.73877275768663,9.0,4
013,active,12,20.5,10.49215,36.603824650000206,26.111674650000204,30.992150000000002,0.5760096057514615,0.8347484647401978,0.8742470193641676,12.0,4
013,active,18,24.75,15.43445,53.81191264999961,38.377462649999615,40.18445,0.4628984290043573,0.6523758153432444,0.7506381424798226,18.0,4
013,constant,9,21.25,0.85,28.508905450001294,27.658905450001292,22.1,0.7454892116700682,0.7684254905003988,0.7753340712296863,1.0,4
013,constant,12,27.0,0.85,36.706614450000416,35.856614450000414,27.85,0.7553299732429309,0.7745414108257213,0.7794763202435251,1.0,4
013,constant,18,35.0,0.85,53.91391992499939,53.06391992499939,35.85,0.6461038401499561,0.6564383678359968,0.6619217000804958,1.0,4
013,passive,9,15.5,7.938924999999999,28.5284300000003,20.5895050000003,23.438924999999998,0.5436954835070805,0.7540228291732953,0.82239837455782,9.0,4
013,passive,12,18.5,10.49215,36.76043537499936,26.268285374999362,28.992150000000002,0.5241942834052264,0.7621081465008459,0.8209616659415985,12.0,4
013,passive,18,28.0,15.43445,54.14778524999838,38.71333524999838,43.43445,0.5191787020815493,0.728463688220944,0.8051376330497961,18.0,4
014,active,9,20.125,7.6313,33.993690525000375,26.362390525000375,27.7563,0.5976827961387723,0.7827752673534087,0.8297453424873179,9.0,4
014,active,12,26.0,10.316374999999999,41.15708540000014,30.84071040000014,36.316375,0.6383496594614213,0.8599035681671428,0.8924312597968274,12.0,4
014,active,18,23.5,15.551725,55.77568915000006,40.223964150000064,39.051725,0.4209891763976301,0.5871128001932954,0.7028441984560039,18.0,4
014,constant,9,33.375,0.85,34.08826890000046,33.238268900000456,34.225,0.967096260195194,0.9924986835544946,0.9928970407543946,1.0,4
014,constant,12,30.25,0.85,41.268695774999514,40.41869577499952,31.1,0.7293418961316496,0.7447815652737304,0.750166745416932,1.0,4
014,constant,18,51.25,0.85,55.8910268249997,55.0410268249997,52.1,0.9064494306602338,0.9204315949994697,0.9218150197919738,1.0,4
014,passive,9,21.75,7.6313,34.15468167499989,26.523381674999893,29.3813,0.6375510711232742,0.8317704204436156,0.8684080237000031,9.0,4
014,passive,12,26.125,10.316375,41.39746824999952,31.08109324999952,36.441375,0.6264664045930027,0.8372450469189657,0.8790485829673009,12.0,4
014,passive,18,27.125,15.551725,56.082657649999874,40.53093264999987,42.676725,0.47511078894566716,0.6558302983475577,0.7553643762786677,18.0,4
017,active,9,29.5,7.698475,36.53251002499928,28.83403502499928,37.198475,0.8928170575793144,1.175177694335773,1.1118617484708313,9.0,4
017,active,12,57.5,10.400725,43.88005454999984,33.47932954999984,67.900725,1.3198848831896008,1.8771006259633438,1.5989455431231678,12.0,4
017,active,18,52.75,15.43035,67.46279032499933,52.032440324999335,68.18035,0.8307949279176978,1.1228849867528137,1.0725014500029602,18.0,4
017,constant,9,41.625,0.85,36.627430799999274,35.77743079999927,42.475,1.1389372892947658,1.16730292267683,1.1630822416217315,1.0,4
017,constant,12,43.0,0.85,43.98194339999918,43.13194339999919,43.85,1.038260516379075,1.0636371608328963,1.060911103711394,1.0,4
017,constant,18,73.75,0.85,67.56918307499927,66.71918307499928,74.6,1.043603443627471,1.056985205851304,1.0569023311019752,1.0,4
017,passive,9,39.375,7.698474999999999,36.69863707499826,29.00016207499826,47.073475,1.0765218621453068,1.380962637434605,1.2943628424645428,9.0,4
017,passive,12,40.0,10.400725000000001,44.123959450002076,33.723234450002074,50.400725,0.9577044930441847,1.3632614831124195,1.2346659484195683,12.0,4
017,passive,18,51.75,15.43035,67.69453814999906,52.264188149999065,67.18035,0.7701174294201323,1.0212179307150953,1.0107347026854463,18.0,4
018,active,9,41.625,7.6076,66.10413779999999,58.496537799999984,49.232600000000005,0.6440686611491782,0.7444515261366039,0.7733936702593527,9.0,4
018,active,12,50.625,10.283774999999999,103.4460285749999,93.16225357499991,60.908775,0.5456899173203267,0.644342986009726,0.6783425043046134,12.0,4
018,active,18,85.875,15.396675,194.0171148500001,178.6204398500001,101.271675,0.48966777371088366,0.552657076869116,0.5922571258139833,18.0,4
018,constant,9,53.125,0.85,66.21008207499995,65.36008207499995,53.974999999999994,0.7918279875733487,0.8032708743613165,0.8062219504224661,1.0,4
018,constant,12,66.5,0.85,103.55730897499984,102.70730897499985,67.35,0.6078757588545487,0.614372874727752,0.6189721257309021,1.0,4
018,constant,18,93.875,0.85,194.10707105000006,193.25707105000006,94.725,0.5488244281464298,0.5523040898933059,0.5544842866742717,1.0,4
018,passive,9,28.75,7.6076,66.22725377500046,58.61965377500046,36.357600000000005,0.43848190119246233,0.5051565563280305,0.5674341340999677,9.0,4
018,passive,12,59.875,10.283775,103.59024415000022,93.30646915000023,70.15877499999999,0.5841614403295772,0.6784250012249881,0.7164740087545289,12.0,4
018,passive,18,84.5,15.396675,194.29850895000027,178.90183395000028,99.896675,0.4544413530084043,0.5094235682338412,0.5567941202265074,18.0,4
019,active,9,12.375,7.810350000000001,32.45566704999965,24.645317049999647,20.18535,0.37263835917423044,0.4908335015017674,0.6181165143489159,9.0,4
019,active,12,13.5,10.3323,38.271707049999804,27.9394070499998,23.8323,0.3204891538672886,0.42835717087487285,0.5970290220344785,12.0,4
019,active,18,33.75,15.41905,56.62632074999965,41.20727074999965,49.16905,0.6175353897848664,0.87191765888899,0.8996861408499464,18.0,4
019,constant,9,24.125,0.85,32.56203030000029,31.712030300000286,24.975,0.7706265945141372,0.7925675554969509,0.7972793210073817,1.0,4
019,constant,12,23.125,0.85,38.38270877500008,37.53270877500008,23.975,0.6149141047375808,0.62954791996313,0.6377873014234748,1.0,4
019,constant,18,33.125,0.85,56.70768127500014,55.85768127500014,33.975,0.5773317655658986,0.5863387748417884,0.5929187990132101,1.0,4
019,passive,9,18.0,7.81035,32.61985485000014,24.80950485000014,25.81035,0.565264253553316,0.7544230063690109,0.8094657293484668,9.0,4
019,passive,12,25.5,10.3323,38.50328024999999,28.17098024999999,35.8323,0.63876949233815,0.8624912722258213,0.9133565980022316,12.0,4
019,passive,18,33.75,15.41905,57.036911274999966,41.61786127499997,49.16905,0.5961463389236874,0.833707683085069,0.8760111248221853,18.0,4
020,active,9,15.75,7.80645,46.04798057500034,38.24153057500034,23.556449999999998,0.32196190841012956,0.3874497936938156,0.5062196131800533,9.0,4
020,active,12,28.75,10.516825,63.66878854999982,53.15196354999981,39.266825,0.4023634894161977,0.4848450367899709,0.5993067376029987,12.0,4
020,active,18,28.5,15.547274999999999,108.93295979999994,93.38568479999992,44.047275,0.2721026298270681,0.3428941918884384,0.45265397880628305,18.0,4
020,constant,9,18.5,0.85,46.14628480000033,45.29628480000033,19.35,0.41653971864956996,0.42546401522096133,0.4365204741504142,1.0,4
020,constant,12,23.75,0.85,63.7623686500001,62.912368650000104,24.6,0.37484288181172204,0.3808541847766984,0.39072068258408027,1.0,4
020,constant,18,40.75,0.85,109.02767987499988,108.17767987499988,41.6,0.36133883082994545,0.36466238721945565,0.3711181490823242,1.0,4
020,passive,9,15.25,7.80645,46.209980524999764,38.403530524999766,23.056449999999998,0.3246016788296347,0.39613334888712726,0.5080399899493958,9.0,4
020,passive,12,19.5,10.516824999999999,63.87502957499987,53.35820457499987,30.016824999999997,0.2999662851773024,0.3771717877919012,0.49628178757313945,12.0,4
020,passive,18,43.75,15.547274999999999,109.19817265000006,93.65089765000005,59.297275,0.3699192623030859,0.44382657896733935,0.5495857251935077,18.0,4
021,active,9,16.125,7.905575,40.53587255000093,32.63029755000093,24.030575,0.4081320915312661,0.5437309449634413,0.6328755788382766,9.0,4
021,active,12,18.375,10.264975,54.22032812500038,43.95535312500038,28.639975,0.347195272500986,0.4528586470233786,0.5642359829991057,12.0,4
021,active,18,26.125,15.59525,84.51193919999969,68.9166891999997,41.72025,0.329895147367048,0.4486749631357459,0.5557875203455956,18.0,4
021,constant,9,23.375,0.85,40.625929599999836,39.775929599999834,24.225,0.562587696430829,0.5761581697315717,0.5867743108354222,1.0,4
021,constant,12,30.375,0.85,54.32311049999953,53.473110499999535,31.225,0.5251005167235521,0.5340627422992341,0.5432135817381651,1.0,4
021,constant,18,41.75,0.85,84.61857077499917,83.76857077499918,42.6,0.47912551083189603,0.4848145940339287,0.49148644066961505,1.0,4
021,passive,9,19.125,7.905575,40.742287049998595,32.836712049998596,27.030575,0.47520516192452755,0.626484778632352,0.6986077265995669,9.0,4
021,passive,12,22.5,10.264975,54.44795544999943,44.182980449999434,32.764975,0.4238588318982835,0.5541482207641135,0.6397038289754692,12.0,4
021,passive,18,30.125,15.59525,84.82272462500168,69.22747462500168,45.72025,0.36647867028632286,0.4928728134549743,0.5911386759800248,18.0,4
022,active,9,15.625,7.657375000000001,49.787909925000235,42.130534925000234,23.282375000000002,0.31278164696084443,0.37057241250436146,0.4682477720717432,9.0,4
022,active,12,21.25,10.242175,73.49581099999989,63.25363599999989,31.492175,0.29607560552672213,0.35103757336955876,0.4467906587599372,12.0,4
022,active,18,26.75,15.66175,111.42625594999981,95.7645059499998,42.41175,0.24538438363545656,0.29152925902593385,0.3967051541128634,18.0,4
022,constant,9,16.25,0.85,49.91164180000044,49.06164180000044,17.1,0.32384514991189484,0.3294698750553921,0.34101331033644766,1.0,4
022,constant,12,25.5,0.85,73.61991975000024,72.76991975000023,26.35,0.35415790238517453,0.35871609579412495,0.3666022172534684,1.0,4
022,constant,18,33.0,0.85,111.54144642499978,110.69144642499978,33.85,0.2958979829506544,0.29835191423460405,0.3040844105782721,1.0,4
022,passive,9,16.125,7.657375,49.95277329999999,42.29539829999999,23.782375,0.3203593756325448,0.37808425486093056,0.47521054195820656,9.0,4
022,passive,12,21.75,10.242175,73.69030859999975,63.44813359999975,31.992175,0.3107194759538922,0.36996959295295223,0.4610115748205501,12.0,4
022,passive,18,28.0,15.66175,111.54123149999975,95.87948149999976,43.66175,0.2522373488502337,0.2979911059959665,0.40331181121865806,18.0,4
024,active,9,9.75,7.95145,32.12568572500027,24.174235725000266,17.70145,0.31274395747357364,0.4270042607873742,0.5676701964209994,9.0,4
024,active,12,14.0,10.267949999999999,46.055919424999956,35.78796942499996,24.26795,0.33130236272314423,0.4411803590904849,0.5639284493635599,12.0,4
024,active,18,30.625,15.423325,78.70341660000008,63.28009160000008,46.048325,0.39724167490446094,0.505805099371534,0.6036076284392685,18.0,4
024,constant,9,14.875,0.85,32.22014645000013,31.370146450000128,15.725000000000001,0.45553751667075193,0.46801600844309155,0.4826760680895781,1.0,4
024,constant,12,39.625,0.85,46.163397825000175,45.31339782500017,40.474999999999994,0.7829002755745295,0.7967546690002059,0.8022252709535966,1.0,4
024,constant,18,58.125,0.85,78.81033952500002,77.96033952500002,58.974999999999994,0.6820294771749587,0.6892141036218736,0.6933677924241735,1.0,4
024,passive,9,12.75,7.95145,32.303742824999745,24.352292824999743,20.70145,0.3919813162959105,0.5285614833891644,0.6455819593480677,9.0,4
024,passive,12,18.375,10.26795,46.25470327499988,35.986753274999884,28.64295,0.39945028709959046,0.5248628495398693,0.6310304783526873,12.0,4
024,passive,18,44.75,15.423324999999998,78.98139472499997,63.55806972499997,60.173325000000006,0.5303724344898979,0.6605090531689082,0.735965874967232,18.0,4
025,active,9,8.375,7.957225,42.72933812499991,34.77211312499991,16.332225,0.21036332306412867,0.2661052035314059,0.4044699242314834,9.0,4
025,active,12,11.25,10.41055,65.43620790000011,55.02565790000011,21.66055,0.191415098407885,0.23416092523480783,0.35515949013964415,12.0,4
025,active,18,13.875,15.558725,91.98790067499999,76.429175675,29.433725000000003,0.16092840696048175,0.19765223060871373,0.33478596275315564,18.0,4
025,constant,9,12.625,0.85,42.839528474999724,41.98952847499972,13.475,0.30089139617975574,0.3073938910650623,0.3215948504781478,1.0,4
025,constant,12,16.125,0.85,65.53890682500014,64.68890682500015,16.975,0.2498691014799219,0.2533146949273083,0.26324163615173035,1.0,4
025,constant,18,19.75,0.85,92.0862599249997,91.2362599249997,20.6,0.2213324816966856,0.22352120160008224,0.2308214524879826,1.0,4
025,passive,9,8.5,7.957224999999999,42.89784802499992,34.940623024999915,16.457225,0.2067843233036697,0.25964815025148946,0.40014437977657036,9.0,4
025,passive,12,10.625,10.41055,65.64707902500004,55.23652902500004,21.03555,0.17074969620050945,0.20669753578110572,0.3339201912873707,12.0,4
025,passive,18,16.25,15.558724999999999,92.2653858000001,76.70666080000011,31.808725,0.1822685361636084,0.22246041900495858,0.35553701511016156,18.0,4
026,active,9,15.25,7.628475,29.236926699999913,21.60845169999991,22.878475,0.5386336284508283,0.7450017459456375,0.805275814279744,9.0,4
026,active,12,20.125,10.216075,38.20079197499979,27.98471697499979,30.341075,0.5252913598701792,0.7203294655978172,0.7957429724202034,12.0,4
026,active,18,28.0,15.717324999999999,60.02856040000006,44.31123540000006,43.717325,0.48588105128280046,0.6797199356211244,0.7578124673490497,18.0,4
026,constant,9,23.625,0.85,29.3474694250001,28.497469425000098,24.475,0.8217534532960004,0.8473177221829622,0.8513783270526111,1.0,4
026,constant,12,31.375,0.85,38.299410699999726,37.449410699999724,32.225,0.8189253156780992,0.8377513440664911,0.8413732783228537,1.0,4
026,constant,18,49.625,0.85,60.11834387499971,59.268343874999715,50.474999999999994,0.8279420412110199,0.8403515823236021,0.8426551555846293,1.0,4
026,passive,9,19.0,7.628475,29.389067150000187,21.76059215000019,26.628475,0.6650671755564858,0.9155002797911507,0.930363397351556,9.0,4
026,passive,12,25.125,10.216075000000002,38.4281933499999,28.212118349999905,35.341075000000004,0.6497498808035018,0.8871636071990445,0.9185724390329778,12.0,4
026,passive,18,36.625,15.717324999999999,60.251752749999696,44.53442774999969,52.342325,0.596133769999341,0.8188971038398023,0.8669794249589141,18.0,4
