family,x,y,n,r,p,spearman_rho,spearman_p,p_fdr,sig_fdr_05
condition_level_active,lambda_amp_uV_active,estimated_duration_s_active,23,-0.19493256761140448,0.3727555899936728,-0.2994811062516393,0.165053899219005,0.7132689756389635,False
condition_level_active,lambda_amp_uV_active,estimation_ratio_active,23,-0.023209421800647854,0.916284597853719,-0.03853754940711463,0.861411866221951,0.916284597853719,False
condition_level_active,lambda_amp_uV_active,recognition_accuracy_active,23,-0.5058714494495039,0.01378882345678271,-0.40699860076761263,0.053925254541481504,0.4826088209873948,False
condition_level_active,lambda_amp_uV_active,variability_sd_s_active,22,-0.21433353904181315,0.33815071944925357,-0.2670807453416149,0.22952835250286968,0.7132689756389635,False
condition_level_active,lambda_amp_uV_active,recognition_rt_s_active,23,-0.14140789443717713,0.5198374320952032,-0.1314229249011858,0.5500163417360642,0.7132689756389635,False
condition_level_active,early_lpp_rise50_latency_ms_active,estimated_duration_s_active,23,0.22986164615315952,0.29137368040957085,0.15913022477397337,0.46830228839360566,0.7132689756389635,False
condition_level_active,early_lpp_rise50_latency_ms_active,estimation_ratio_active,23,0.10192006779272117,0.6435496508415259,0.09980237154150197,0.6504928119104103,0.7707780417565253,False
condition_level_active,early_lpp_rise50_latency_ms_active,recognition_accuracy_active,23,-0.2114900031289758,0.332682170413311,-0.17084536900001196,0.4357382258775523,0.7132689756389635,False
condition_level_active,early_lpp_rise50_latency_ms_active,variability_sd_s_active,22,0.18357229173132517,0.4134975174679822,0.15866741953698477,0.48064705182624184,0.7132689756389635,False
condition_level_active,early_lpp_rise50_latency_ms_active,recognition_rt_s_active,23,0.04929246610999327,0.8232626515037447,0.04150197628458498,0.8508629902593835,0.8474762589009136,False
condition_level_active,early_lpp_peak_amp_uV_active,estimated_duration_s_active,23,0.17293408442040012,0.43006249561679805,-0.03311094739085781,0.8807805981062284,0.7132689756389635,False
condition_level_active,early_lpp_peak_amp_uV_active,estimation_ratio_active,23,0.38608187935372107,0.06881643965250717,-0.2233201581027668,0.3056986083624989,0.6682389234235446,False
condition_level_active,early_lpp_peak_amp_uV_active,recognition_accuracy_active,23,0.08596665210549172,0.696526606473511,-0.08672884175535776,0.6939617242187139,0.7707780417565253,False
condition_level_active,early_lpp_peak_amp_uV_active,variability_sd_s_active,22,0.19856426700467544,0.37569730066749907,0.016374929418407683,0.9423421025261127,0.7132689756389635,False
condition_level_active,early_lpp_peak_amp_uV_active,recognition_rt_s_active,23,0.15666042640869315,0.4753229471801041,0.05632411067193676,0.7985226107639527,0.7132689756389635,False
condition_level_active,rising_flank_amp_uV_active,estimated_duration_s_active,23,0.10444206978623198,0.6353184158777835,0.09834445568329409,0.6552892223002402,0.7707780417565253,False
condition_level_active,rising_flank_amp_uV_active,estimation_ratio_active,23,0.3918205251910029,0.06445162938604347,-0.05533596837944664,0.801988546342079,0.6682389234235446,False
condition_level_active,rising_flank_amp_uV_active,recognition_accuracy_active,23,0.19925840855416305,0.3620285348111427,0.04179703217125676,0.8498143595269622,0.7132689756389635,False
condition_level_active,rising_flank_amp_uV_active,variability_sd_s_active,22,0.218655321797858,0.3282638199123913,0.07284020327498589,0.7473495204277644,0.7132689756389635,False
condition_level_active,rising_flank_amp_uV_active,recognition_rt_s_active,23,0.16475212587922722,0.4525219697534478,0.10177865612648221,0.644012399414326,0.7132689756389635,False
condition_level_active,early_lpp_amp_uV_active,estimated_duration_s_active,23,0.1891692107747853,0.3873269969860981,0.012354831115991722,0.955382173930466,0.7132689756389635,False
condition_level_active,early_lpp_amp_uV_active,estimation_ratio_active,23,0.3504244190116028,0.10114704291576514,-0.21047430830039524,0.33506327271090675,0.7080293004103559,False
condition_level_active,early_lpp_amp_uV_active,recognition_accuracy_active,23,0.08354077465099119,0.7047113524631088,-0.07209988049541788,0.7437270214602256,0.7707780417565253,False
condition_level_active,early_lpp_amp_uV_active,variability_sd_s_active,22,0.19367492485554955,0.38780246184391354,0.003952569169960475,0.986072032076201,0.7132689756389635,False
condition_level_active,early_lpp_amp_uV_active,recognition_rt_s_active,23,0.17312016642562797,0.4295587869860695,0.1314229249011858,0.5500163417360642,0.7132689756389635,False
condition_level_active,lpp_amp_uV_active,estimated_duration_s_active,23,0.1380634380167299,0.5298569533318015,0.02816901494446112,0.8984774031385059,0.7132689756389635,False
condition_level_active,lpp_amp_uV_active,estimation_ratio_active,23,0.21648610736761298,0.3211177163617353,-0.274703557312253,0.20460597944666878,0.7132689756389635,False
condition_level_active,lpp_amp_uV_active,recognition_accuracy_active,23,0.12438139426172468,0.5717675907487783,-0.0010449258042814187,0.996224578561034,0.7411802102298977,False
condition_level_active,lpp_amp_uV_active,variability_sd_s_active,22,0.1814736527447649,0.4189492180563015,0.06832298136645965,0.7625680708731801,0.7132689756389635,False
condition_level_active,lpp_amp_uV_active,recognition_rt_s_active,23,0.054530280036134124,0.8048171970642577,0.07312252964426878,0.7402130561603608,0.8474762589009136,False
condition_level_active,rise_delta_uV_active,estimated_duration_s_active,23,0.1792915477479449,0.41303433478745083,-0.059303189356760266,0.7880958998190983,0.7132689756389635,False
condition_level_active,rise_delta_uV_active,estimation_ratio_active,23,0.3767732431898673,0.07637016267697652,-0.23023715415019763,0.290564282427289,0.6682389234235446,False
condition_level_active,rise_delta_uV_active,recognition_accuracy_active,23,0.09406604459386717,0.6694404697866111,-0.0506789015076488,0.8183709606709137,0.7707780417565253,False
condition_level_active,rise_delta_uV_active,variability_sd_s_active,22,0.22965192317858843,0.30389773934539294,0.0378317334839074,0.8672536652027347,0.7132689756389635,False
condition_level_active,rise_delta_uV_active,recognition_rt_s_active,23,0.14994170121802755,0.4946889587075347,0.03754940711462451,0.8649333446053347,0.7132689756389635,False
condition_level_passive,lambda_amp_uV_passive,estimated_duration_s_passive,23,-0.19495009357329612,0.3727117654472308,-0.17885375494071146,0.4141949288213903,0.8924767850176977,False
condition_level_passive,lambda_amp_uV_passive,estimation_ratio_passive,23,-0.03202739580568995,0.8846563138192475,0.004940711462450594,0.9821500334482505,0.9560988668470866,False
condition_level_passive,lambda_amp_uV_passive,recognition_accuracy_passive,23,-0.17799489118503845,0.4164769712885652,-0.07956568536259853,0.718191401745539,0.8924767850176977,False
condition_level_passive,lambda_amp_uV_passive,variability_sd_s_passive,22,-0.23861882059718226,0.28487372587495985,-0.101072840203275,0.6544778869223147,0.8924767850176977,False
condition_level_passive,lambda_amp_uV_passive,recognition_rt_s_passive,23,-0.019735367467200487,0.9287817563657412,0.026679841897233204,0.9038196225649724,0.9560988668470866,False
condition_level_passive,early_lpp_rise50_latency_ms_passive,estimated_duration_s_passive,23,0.1898585649774735,0.3855673836392188,0.07707509881422926,0.7266792044274873,0.8924767850176977,False
condition_level_passive,early_lpp_rise50_latency_ms_passive,estimation_ratio_passive,23,0.09842468852428371,0.6550249185282999,-0.03754940711462451,0.8649333446053347,0.8924767850176977,False
condition_level_passive,early_lpp_rise50_latency_ms_passive,recognition_accuracy_passive,23,-0.2511716721392262,0.2476596553982732,-0.16683127576028725,0.4467573135659464,0.8924767850176977,False
condition_level_passive,early_lpp_rise50_latency_ms_passive,variability_sd_s_passive,22,0.1586622421629684,0.48066155556569057,0.03896103896103897,0.8633265562067404,0.8924767850176977,False
condition_level_passive,early_lpp_rise50_latency_ms_passive,recognition_rt_s_passive,23,-0.09332862242746019,0.6718907537512162,-0.008893280632411068,0.9678756225555957,0.8924767850176977,False
condition_level_passive,early_lpp_peak_amp_uV_passive,estimated_duration_s_passive,23,0.03534820613200577,0.8727866904369231,-0.21640316205533597,0.3213076984569005,0.9560988668470866,False
condition_level_passive,early_lpp_peak_amp_uV_passive,estimation_ratio_passive,23,0.16260089965467364,0.4585271914038683,-0.24604743083003952,0.2577589090568497,0.8924767850176977,False
condition_level_passive,early_lpp_peak_amp_uV_passive,recognition_accuracy_passive,23,0.13246478714734072,0.5468304413822566,0.04876606522223781,0.8251216035651209,0.8924767850176977,False
condition_level_passive,early_lpp_peak_amp_uV_passive,variability_sd_s_passive,22,-0.19759924176676652,0.37806930860643045,-0.31789949181253535,0.14937063985267565,0.8924767850176977,False
condition_level_passive,early_lpp_peak_amp_uV_passive,recognition_rt_s_passive,23,0.08836043895813489,0.6884820912993668,0.15118577075098816,0.4910738624547539,0.8924767850176977,False
condition_level_passive,rising_flank_amp_uV_passive,estimated_duration_s_passive,23,-0.029354746935143606,0.894226775281407,-0.17193675889328064,0.43276758166218876,0.9560988668470866,False
condition_level_passive,rising_flank_amp_uV_passive,estimation_ratio_passive,23,0.17887376540402894,0.4141418418953955,-0.1847826086956522,0.3986298380742021,0.8924767850176977,False
condition_level_passive,rising_flank_amp_uV_passive,recognition_accuracy_passive,23,0.21447482323829425,0.3257436163913083,0.185824374846843,0.39592903417146647,0.8924767850176977,False
condition_level_passive,rising_flank_amp_uV_passive,variability_sd_s_passive,22,-0.16804740561030707,0.45473555745085864,-0.23433088650479958,0.29387603877735996,0.8924767850176977,False
condition_level_passive,rising_flank_amp_uV_passive,recognition_rt_s_passive,23,0.13723589882433726,0.532350092651837,0.20355731225296442,0.3515479723283557,0.8924767850176977,False
condition_level_passive,early_lpp_amp_uV_passive,estimated_duration_s_passive,23,0.03165718141964066,0.8859811108069028,-0.208498023715415,0.33972534783847685,0.9560988668470866,False
condition_level_passive,early_lpp_amp_uV_passive,estimation_ratio_passive,23,0.12576110004282617,0.5674760002552227,-0.2707509881422925,0.21145886194855515,0.8924767850176977,False
condition_level_passive,early_lpp_amp_uV_passive,recognition_accuracy_passive,23,0.11748095579711634,0.5934427901542227,0.039526179180129586,0.8578912032466163,0.8924767850176977,False
condition_level_passive,early_lpp_amp_uV_passive,variability_sd_s_passive,22,-0.2246383309363624,0.31486558713950075,-0.3325804630152457,0.13045381101860296,0.8924767850176977,False
condition_level_passive,early_lpp_amp_uV_passive,recognition_rt_s_passive,23,0.11245817200750144,0.6094354521064554,0.08695652173913043,0.6931961750829252,0.8924767850176977,False
condition_level_passive,lpp_amp_uV_passive,estimated_duration_s_passive,23,-0.00396771513845469,0.9856649134480502,-0.11758893280632411,0.5931009526165395,0.9856649134480502,False
condition_level_passive,lpp_amp_uV_passive,estimation_ratio_passive,23,0.023510252219260026,0.9152032853762777,-0.2628458498023716,0.2256214155097076,0.9560988668470866,False
condition_level_passive,lpp_amp_uV_passive,recognition_accuracy_passive,23,0.1266476868694627,0.5647258288453307,0.12063184554974615,0.5835021846880246,0.8924767850176977,False
condition_level_passive,lpp_amp_uV_passive,variability_sd_s_passive,22,-0.14781384169267744,0.5115284458237588,-0.20722755505364204,0.35478551222580335,0.8924767850176977,False
condition_level_passive,lpp_amp_uV_passive,recognition_rt_s_passive,23,0.041227212531131,0.8518397224293508,0.00691699604743083,0.975011901091527,0.9560988668470866,False
condition_level_passive,rise_delta_uV_passive,estimated_duration_s_passive,23,0.09189659290102187,0.6766582774352999,-0.15118577075098816,0.4910738624547539,0.8924767850176977,False
condition_level_passive,rise_delta_uV_passive,estimation_ratio_passive,23,0.1965663025081866,0.3686830761106351,-0.19861660079051385,0.3636086341243842,0.8924767850176977,False
condition_level_passive,rise_delta_uV_passive,recognition_accuracy_passive,23,0.19436478718428002,0.374176952651703,0.09188553341874282,0.6766951437955311,0.8924767850176977,False
condition_level_passive,rise_delta_uV_passive,variability_sd_s_passive,22,-0.16412996248385173,0.4654678266746519,-0.27611518915866745,0.2135538738968803,0.8924767850176977,False
condition_level_passive,rise_delta_uV_passive,recognition_rt_s_passive,23,0.09214830328451004,0.6758194047874004,0.1314229249011858,0.5500163417360642,0.8924767850176977,False
condition_level_constant,lambda_amp_uV_constant,estimated_duration_s_constant,22,-0.17488715884082193,0.4363100517701981,-0.2603784345569698,0.241873031223209,0.9882364234173031,False
condition_level_constant,lambda_amp_uV_constant,estimation_ratio_constant,22,-0.10935434120863063,0.628077547420699,-0.14624505928853757,0.5160696210616291,0.9882364234173031,False
condition_level_constant,lambda_amp_uV_constant,recognition_accuracy_constant,22,0.003338299290510974,0.9882364234173031,0.017197979012252743,0.9394490730116228,0.9882364234173031,False
condition_level_constant,lambda_amp_uV_constant,variability_sd_s_constant,21,-0.2778732027259365,0.2226167879576629,-0.26103896103896107,0.25306481196664155,0.9882364234173031,False
condition_level_constant,lambda_amp_uV_constant,recognition_rt_s_constant,22,-0.04474605547067393,0.8432601425614485,0.018633540372670808,0.9344048422352652,0.9882364234173031,False
condition_level_constant,early_lpp_rise50_latency_ms_constant,estimated_duration_s_constant,22,-0.16559798565946837,0.4614308797508398,-0.2242304523191258,0.31576829270677587,0.9882364234173031,False
condition_level_constant,early_lpp_rise50_latency_ms_constant,estimation_ratio_constant,22,-0.05362351489188756,0.8126528048133587,-0.025409373235460195,0.9106320314075295,0.9882364234173031,False
condition_level_constant,early_lpp_rise50_latency_ms_constant,recognition_accuracy_constant,22,-0.30015092630658435,0.17471970587148242,-0.3267616012328021,0.1377344281969831,0.9882364234173031,False
condition_level_constant,early_lpp_rise50_latency_ms_constant,variability_sd_s_constant,21,0.08440836725808344,0.7160278847832082,-0.029870129870129873,0.8977307350801783,0.9882364234173031,False
condition_level_constant,early_lpp_rise50_latency_ms_constant,recognition_rt_s_constant,22,0.20898207183046522,0.350634665178602,-0.042348955392433656,0.8515642629643548,0.9882364234173031,False
condition_level_constant,early_lpp_peak_amp_uV_constant,estimated_duration_s_constant,22,0.0201116094057158,0.9292137892066591,-0.1423326800615106,0.5274782093995369,0.9882364234173031,False
condition_level_constant,early_lpp_peak_amp_uV_constant,estimation_ratio_constant,22,0.04882442487683874,0.829169036155201,-0.07622811970638058,0.7359946162262682,0.9882364234173031,False
condition_level_constant,early_lpp_peak_amp_uV_constant,recognition_accuracy_constant,22,-0.012993187490504153,0.9542359537680657,0.017197979012252743,0.9394490730116228,0.9882364234173031,False
condition_level_constant,early_lpp_peak_amp_uV_constant,variability_sd_s_constant,21,-0.22776333008076585,0.3207281792030092,-0.38571428571428573,0.08418819066159455,0.9882364234173031,False
condition_level_constant,early_lpp_peak_amp_uV_constant,recognition_rt_s_constant,22,0.060784820227406396,0.7881512507667132,0.20271033314511577,0.3656032765874888,0.9882364234173031,False
condition_level_constant,rising_flank_amp_uV_constant,estimated_duration_s_constant,22,-0.11930554120090424,0.5969281106736498,-0.11522169338312761,0.6096330926780889,0.9882364234173031,False
condition_level_constant,rising_flank_amp_uV_constant,estimation_ratio_constant,22,-0.13012296991313005,0.5638262625434065,-0.16883116883116886,0.4526039146629115,0.9882364234173031,False
condition_level_constant,rising_flank_amp_uV_constant,recognition_accuracy_constant,22,0.33157309024205184,0.13169409580051236,0.36115755925730764,0.0986604465489051,0.9882364234173031,False
condition_level_constant,rising_flank_amp_uV_constant,variability_sd_s_constant,21,-0.2558368983478179,0.2629869541162171,-0.2727272727272727,0.2316557954857192,0.9882364234173031,False
condition_level_constant,rising_flank_amp_uV_constant,recognition_rt_s_constant,22,-0.20238330790785156,0.3663937269199859,0.16657255787690575,0.45876088704673346,0.9882364234173031,False
condition_level_constant,early_lpp_amp_uV_constant,estimated_duration_s_constant,22,-0.018365256768821975,0.935347349842541,-0.23213782343365416,0.29854751314066375,0.9882364234173031,False
condition_level_constant,early_lpp_amp_uV_constant,estimation_ratio_constant,22,-0.02482884998790643,0.9126661727298171,-0.1959345002823264,0.3821811432408395,0.9882364234173031,False
condition_level_constant,early_lpp_amp_uV_constant,recognition_accuracy_constant,22,0.0604628593565565,0.7892488403210565,0.05159393703675823,0.819628703745085,0.9882364234173031,False
condition_level_constant,early_lpp_amp_uV_constant,variability_sd_s_constant,21,-0.18485986733151938,0.4224306227896395,-0.3987012987012987,0.07340807742224027,0.9882364234173031,False
condition_level_constant,early_lpp_amp_uV_constant,recognition_rt_s_constant,22,-0.0075572256319751535,0.9733733446803525,0.14737436476566912,0.5127986614526048,0.9882364234173031,False
condition_level_constant,lpp_amp_uV_constant,estimated_duration_s_constant,22,0.09360747726758482,0.6786242979494275,-0.04574979001977125,0.8397876884580684,0.9882364234173031,False
condition_level_constant,lpp_amp_uV_constant,estimation_ratio_constant,22,-0.07978069865248483,0.7241447602372019,-0.18012422360248448,0.4224751715621319,0.9882364234173031,False
condition_level_constant,lpp_amp_uV_constant,recognition_accuracy_constant,22,0.22097857585119932,0.3230212339111513,0.22357372715928564,0.3172250291283438,0.9882364234173031,False
condition_level_constant,lpp_amp_uV_constant,variability_sd_s_constant,21,-0.025229485274618487,0.9135568370815004,-0.18441558441558442,0.42356621430502056,0.9882364234173031,False
condition_level_constant,lpp_amp_uV_constant,recognition_rt_s_constant,22,-0.15279635128947316,0.49723437005940024,-0.0016939582156973462,0.9940306425107955,0.9882364234173031,False
condition_level_constant,rise_delta_uV_constant,estimated_duration_s_constant,22,0.19767376267440723,0.37788583548361365,0.04800903890963651,0.8319823508957672,0.9882364234173031,False
condition_level_constant,rise_delta_uV_constant,estimation_ratio_constant,22,0.17603438653771522,0.43325897453609546,0.09203839638622249,0.6837393497090004,0.9882364234173031,False
condition_level_constant,rise_delta_uV_constant,recognition_accuracy_constant,22,0.08578126472075724,0.7042685591414627,0.08598989506126371,0.703580750352906,0.9882364234173031,False
condition_level_constant,rise_delta_uV_constant,variability_sd_s_constant,21,-0.17413318109489395,0.45030194856588546,-0.312987012987013,0.16713674816730892,0.9882364234173031,False
condition_level_constant,rise_delta_uV_constant,recognition_rt_s_constant,22,-0.02002583957243324,0.9295149432209383,0.1609260304912479,0.474340887168815,0.9882364234173031,False
