sub,condition,window,cluster,amplitude_uV
001,active,P1,occipital,6.687
001,active,P1,posterior,6.513
001,active,P1,parietal,4.383
001,active,P1,frontal,0.592
001,active,N1,occipital,12.964
001,active,N1,posterior,9.801
001,active,N1,parietal,5.808
001,active,N1,frontal,-1.865
001,active,P2,occipital,15.466
001,active,P2,posterior,13.999
001,active,P2,parietal,10.956
001,active,P2,frontal,-1.417
001,active,P3,occipital,11.124
001,active,P3,posterior,9.848
001,active,P3,parietal,6.446
001,active,P3,frontal,-3.903
001,active,Late,occipital,6.691
001,active,Late,posterior,5.878
001,active,Late,parietal,3.651
001,active,Late,frontal,-0.677
001,passive,P1,occipital,6.498
001,passive,P1,posterior,5.849
001,passive,P1,parietal,3.222
001,passive,P1,frontal,-1.229
001,passive,N1,occipital,11.235
001,passive,N1,posterior,8.155
001,passive,N1,parietal,3.614
001,passive,N1,frontal,-3.799
001,passive,P2,occipital,15.73
001,passive,P2,posterior,13.995
001,passive,P2,parietal,10.179
001,passive,P2,frontal,-0.724
001,passive,P3,occipital,12.523
001,passive,P3,posterior,11.099
001,passive,P3,parietal,6.83
001,passive,P3,frontal,-4.49
001,passive,Late,occipital,7.312
001,passive,Late,posterior,6.32
001,passive,Late,parietal,3.24
001,passive,Late,frontal,-2.674
002,active,P1,occipital,8.17
002,active,P1,posterior,4.597
002,active,P1,parietal,-1.0
002,active,P1,frontal,-5.214
002,active,N1,occipital,6.967
002,active,N1,posterior,4.062
002,active,N1,parietal,-1.418
002,active,N1,frontal,-5.342
002,active,P2,occipital,8.869
002,active,P2,posterior,4.387
002,active,P2,parietal,-3.457
002,active,P2,frontal,-8.031
002,active,P3,occipital,4.82
002,active,P3,posterior,1.947
002,active,P3,parietal,-3.289
002,active,P3,frontal,-5.032
002,active,Late,occipital,2.764
002,active,Late,posterior,0.838
002,active,Late,parietal,-2.346
002,active,Late,frontal,-3.251
002,passive,P1,occipital,7.04
002,passive,P1,posterior,3.993
002,passive,P1,parietal,-0.622
002,passive,P1,frontal,-3.525
002,passive,N1,occipital,5.335
002,passive,N1,posterior,3.17
002,passive,N1,parietal,-0.885
002,passive,N1,frontal,-3.474
002,passive,P2,occipital,8.176
002,passive,P2,posterior,4.354
002,passive,P2,parietal,-2.126
002,passive,P2,frontal,-5.525
002,passive,P3,occipital,5.643
002,passive,P3,posterior,2.707
002,passive,P3,parietal,-2.629
002,passive,P3,frontal,-4.366
002,passive,Late,occipital,3.189
002,passive,Late,posterior,1.566
002,passive,Late,parietal,-2.032
002,passive,Late,frontal,-2.596
003,active,P1,occipital,8.08
003,active,P1,posterior,7.077
003,active,P1,parietal,-0.991
003,active,P1,frontal,-6.719
003,active,N1,occipital,10.39
003,active,N1,posterior,10.009
003,active,N1,parietal,0.133
003,active,N1,frontal,-8.011
003,active,P2,occipital,13.375
003,active,P2,posterior,13.657
003,active,P2,parietal,-0.378
003,active,P2,frontal,-14.603
003,active,P3,occipital,8.877
003,active,P3,posterior,11.823
003,active,P3,parietal,-2.446
003,active,P3,frontal,-18.836
003,active,Late,occipital,7.429
003,active,Late,posterior,15.358
003,active,Late,parietal,4.074
003,active,Late,frontal,-23.133
003,passive,P1,occipital,8.774
003,passive,P1,posterior,6.348
003,passive,P1,parietal,-1.243
003,passive,P1,frontal,-7.794
003,passive,N1,occipital,11.984
003,passive,N1,posterior,9.659
003,passive,N1,parietal,0.222
003,passive,N1,frontal,-9.402
003,passive,P2,occipital,14.083
003,passive,P2,posterior,12.031
003,passive,P2,parietal,-1.45
003,passive,P2,frontal,-14.739
003,passive,P3,occipital,10.068
003,passive,P3,posterior,9.508
003,passive,P3,parietal,-2.992
003,passive,P3,frontal,-16.482
003,passive,Late,occipital,8.84
003,passive,Late,posterior,9.807
003,passive,Late,parietal,2.138
003,passive,Late,frontal,-13.006
004,active,P1,occipital,4.429
004,active,P1,posterior,3.608
004,active,P1,parietal,0.385
004,active,P1,frontal,-2.237
004,active,N1,occipital,3.457
004,active,N1,posterior,2.821
004,active,N1,parietal,-0.034
004,active,N1,frontal,-2.046
004,active,P2,occipital,11.032
004,active,P2,posterior,9.262
004,active,P2,parietal,3.245
004,active,P2,frontal,-3.433
004,active,P3,occipital,6.344
004,active,P3,posterior,5.721
004,active,P3,parietal,2.055
004,active,P3,frontal,-2.09
004,active,Late,occipital,3.522
004,active,Late,posterior,3.665
004,active,Late,parietal,1.936
004,active,Late,frontal,-0.644
004,passive,P1,occipital,2.8
004,passive,P1,posterior,2.365
004,passive,P1,parietal,-0.611
004,passive,P1,frontal,-2.913
004,passive,N1,occipital,2.204
004,passive,N1,posterior,1.868
004,passive,N1,parietal,-1.085
004,passive,N1,frontal,-3.727
004,passive,P2,occipital,9.794
004,passive,P2,posterior,8.3
004,passive,P2,parietal,2.551
004,passive,P2,frontal,-3.637
004,passive,P3,occipital,4.977
004,passive,P3,posterior,4.326
004,passive,P3,parietal,0.789
004,passive,P3,frontal,-2.988
004,passive,Late,occipital,2.439
004,passive,Late,posterior,2.367
004,passive,Late,parietal,0.189
004,passive,Late,frontal,-2.631
005,active,P1,occipital,2.485
005,active,P1,posterior,2.351
005,active,P1,parietal,-1.84
005,active,P1,frontal,-4.124
005,active,N1,occipital,10.338
005,active,N1,posterior,10.031
005,active,N1,parietal,1.477
005,active,N1,frontal,-8.089
005,active,P2,occipital,10.977
005,active,P2,posterior,10.879
005,active,P2,parietal,-2.546
005,active,P2,frontal,-14.396
005,active,P3,occipital,5.753
005,active,P3,posterior,7.21
005,active,P3,parietal,-3.249
005,active,P3,frontal,-13.258
005,active,Late,occipital,3.7
005,active,Late,posterior,4.643
005,active,Late,parietal,-0.473
005,active,Late,frontal,-5.295
005,passive,P1,occipital,1.541
005,passive,P1,posterior,1.099
005,passive,P1,parietal,-3.384
005,passive,P1,frontal,-4.309
005,passive,N1,occipital,8.477
005,passive,N1,posterior,8.214
005,passive,N1,parietal,-0.459
005,passive,N1,frontal,-8.929
005,passive,P2,occipital,10.798
005,passive,P2,posterior,10.44
005,passive,P2,parietal,-3.475
005,passive,P2,frontal,-15.461
005,passive,P3,occipital,6.445
005,passive,P3,posterior,7.959
005,passive,P3,parietal,-3.064
005,passive,P3,frontal,-13.699
005,passive,Late,occipital,3.133
005,passive,Late,posterior,4.592
005,passive,Late,parietal,-1.752
005,passive,Late,frontal,-6.652
006,active,P1,occipital,0.036
006,active,P1,posterior,0.835
006,active,P1,parietal,-0.384
006,active,P1,frontal,-1.944
006,active,N1,occipital,3.232
006,active,N1,posterior,2.748
006,active,N1,parietal,0.737
006,active,N1,frontal,-1.629
006,active,P2,occipital,5.871
006,active,P2,posterior,4.309
006,active,P2,parietal,-1.064
006,active,P2,frontal,-5.56
006,active,P3,occipital,2.227
006,active,P3,posterior,1.766
006,active,P3,parietal,-1.901
006,active,P3,frontal,-3.707
006,active,Late,occipital,-0.282
006,active,Late,posterior,-0.082
006,active,Late,parietal,-2.222
006,active,Late,frontal,-2.863
006,passive,P1,occipital,0.351
006,passive,P1,posterior,0.839
006,passive,P1,parietal,-0.458
006,passive,P1,frontal,-1.818
006,passive,N1,occipital,2.491
006,passive,N1,posterior,1.986
006,passive,N1,parietal,0.181
006,passive,N1,frontal,-1.823
006,passive,P2,occipital,5.871
006,passive,P2,posterior,4.361
006,passive,P2,parietal,-0.651
006,passive,P2,frontal,-5.259
006,passive,P3,occipital,1.681
006,passive,P3,posterior,1.209
006,passive,P3,parietal,-2.239
006,passive,P3,frontal,-4.092
006,passive,Late,occipital,-0.615
006,passive,Late,posterior,-0.498
006,passive,Late,parietal,-1.948
006,passive,Late,frontal,-2.273
007,active,P1,occipital,1.481
007,active,P1,posterior,1.603
007,active,P1,parietal,-0.323
007,active,P1,frontal,-2.866
007,active,N1,occipital,5.469
007,active,N1,posterior,4.517
007,active,N1,parietal,0.395
007,active,N1,frontal,-5.37
007,active,P2,occipital,6.789
007,active,P2,posterior,5.529
007,active,P2,parietal,-1.029
007,active,P2,frontal,-8.4
007,active,P3,occipital,5.546
007,active,P3,posterior,5.147
007,active,P3,parietal,0.059
007,active,P3,frontal,-7.56
007,active,Late,occipital,1.558
007,active,Late,posterior,2.081
007,active,Late,parietal,0.105
007,active,Late,frontal,-2.365
007,passive,P1,occipital,0.489
007,passive,P1,posterior,0.528
007,passive,P1,parietal,-1.421
007,passive,P1,frontal,-2.539
007,passive,N1,occipital,4.571
007,passive,N1,posterior,3.79
007,passive,N1,parietal,-0.519
007,passive,N1,frontal,-5.735
007,passive,P2,occipital,6.134
007,passive,P2,posterior,5.049
007,passive,P2,parietal,-1.376
007,passive,P2,frontal,-8.693
007,passive,P3,occipital,4.339
007,passive,P3,posterior,4.144
007,passive,P3,parietal,-0.474
007,passive,P3,frontal,-7.474
007,passive,Late,occipital,1.617
007,passive,Late,posterior,2.174
007,passive,Late,parietal,0.213
007,passive,Late,frontal,-1.837
008,active,P1,occipital,1.514
008,active,P1,posterior,1.825
008,active,P1,parietal,-1.557
008,active,P1,frontal,-5.058
008,active,N1,occipital,8.901
008,active,N1,posterior,6.955
008,active,N1,parietal,1.746
008,active,N1,frontal,-4.315
008,active,P2,occipital,13.489
008,active,P2,posterior,11.169
008,active,P2,parietal,3.381
008,active,P2,frontal,-8.224
008,active,P3,occipital,10.088
008,active,P3,posterior,8.575
008,active,P3,parietal,3.814
008,active,P3,frontal,-4.714
008,active,Late,occipital,9.304
008,active,Late,posterior,8.778
008,active,Late,parietal,6.254
008,active,Late,frontal,-1.351
008,passive,P1,occipital,1.435
008,passive,P1,posterior,1.418
008,passive,P1,parietal,-2.138
008,passive,P1,frontal,-5.164
008,passive,N1,occipital,8.657
008,passive,N1,posterior,6.635
008,passive,N1,parietal,0.604
008,passive,N1,frontal,-5.243
008,passive,P2,occipital,12.195
008,passive,P2,posterior,9.967
008,passive,P2,parietal,1.578
008,passive,P2,frontal,-8.951
008,passive,P3,occipital,9.205
008,passive,P3,posterior,7.86
008,passive,P3,parietal,2.14
008,passive,P3,frontal,-6.973
008,passive,Late,occipital,9.131
008,passive,Late,posterior,9.04
008,passive,Late,parietal,5.384
008,passive,Late,frontal,-4.076
009,active,P1,occipital,5.968
009,active,P1,posterior,3.056
009,active,P1,parietal,-4.613
009,active,P1,frontal,-10.036
009,active,N1,occipital,12.304
009,active,N1,posterior,8.251
009,active,N1,parietal,2.252
009,active,N1,frontal,-5.677
009,active,P2,occipital,8.741
009,active,P2,posterior,6.123
009,active,P2,parietal,-1.771
009,active,P2,frontal,-9.644
009,active,P3,occipital,7.485
009,active,P3,posterior,4.636
009,active,P3,parietal,-3.135
009,active,P3,frontal,-10.898
009,active,Late,occipital,5.052
009,active,Late,posterior,2.907
009,active,Late,parietal,-0.664
009,active,Late,frontal,-4.471
009,passive,P1,occipital,4.629
009,passive,P1,posterior,2.595
009,passive,P1,parietal,-4.136
009,passive,P1,frontal,-9.238
009,passive,N1,occipital,9.475
009,passive,N1,posterior,6.954
009,passive,N1,parietal,1.449
009,passive,N1,frontal,-6.126
009,passive,P2,occipital,6.462
009,passive,P2,posterior,5.164
009,passive,P2,parietal,-1.946
009,passive,P2,frontal,-9.633
009,passive,P3,occipital,4.717
009,passive,P3,posterior,3.638
009,passive,P3,parietal,-3.345
009,passive,P3,frontal,-11.105
009,passive,Late,occipital,0.957
009,passive,Late,posterior,1.312
009,passive,Late,parietal,-1.243
009,passive,Late,frontal,-5.315
010,active,P1,occipital,-3.358
010,active,P1,posterior,-2.997
010,active,P1,parietal,-3.917
010,active,P1,frontal,-3.347
010,active,N1,occipital,6.617
010,active,N1,posterior,5.472
010,active,N1,parietal,0.748
010,active,N1,frontal,-6.468
010,active,P2,occipital,8.766
010,active,P2,posterior,7.752
010,active,P2,parietal,0.536
010,active,P2,frontal,-10.369
010,active,P3,occipital,6.417
010,active,P3,posterior,6.178
010,active,P3,parietal,0.877
010,active,P3,frontal,-9.526
010,active,Late,occipital,4.377
010,active,Late,posterior,4.074
010,active,Late,parietal,1.322
010,active,Late,frontal,-7.19
010,passive,P1,occipital,-3.06
010,passive,P1,posterior,-1.778
010,passive,P1,parietal,-1.6
010,passive,P1,frontal,-0.827
010,passive,N1,occipital,5.308
010,passive,N1,posterior,5.003
010,passive,N1,parietal,1.588
010,passive,N1,frontal,-3.32
010,passive,P2,occipital,7.081
010,passive,P2,posterior,6.674
010,passive,P2,parietal,0.365
010,passive,P2,frontal,-6.016
010,passive,P3,occipital,4.816
010,passive,P3,posterior,5.182
010,passive,P3,parietal,0.209
010,passive,P3,frontal,-5.361
010,passive,Late,occipital,3.011
010,passive,Late,posterior,3.882
010,passive,Late,parietal,1.259
010,passive,Late,frontal,-1.32
011,active,P1,occipital,1.745
011,active,P1,posterior,4.01
011,active,P1,parietal,1.278
011,active,P1,frontal,-0.827
011,active,N1,occipital,12.988
011,active,N1,posterior,11.998
011,active,N1,parietal,4.352
011,active,N1,frontal,-3.986
011,active,P2,occipital,14.653
011,active,P2,posterior,14.925
011,active,P2,parietal,5.973
011,active,P2,frontal,-5.057
011,active,P3,occipital,9.661
011,active,P3,posterior,9.251
011,active,P3,parietal,2.27
011,active,P3,frontal,-4.05
011,active,Late,occipital,6.191
011,active,Late,posterior,5.987
011,active,Late,parietal,2.092
011,active,Late,frontal,-2.303
011,passive,P1,occipital,2.362
011,passive,P1,posterior,4.634
011,passive,P1,parietal,1.889
011,passive,P1,frontal,-0.798
011,passive,N1,occipital,13.137
011,passive,N1,posterior,12.132
011,passive,N1,parietal,3.916
011,passive,N1,frontal,-3.894
011,passive,P2,occipital,15.015
011,passive,P2,posterior,15.197
011,passive,P2,parietal,5.843
011,passive,P2,frontal,-5.405
011,passive,P3,occipital,9.834
011,passive,P3,posterior,9.147
011,passive,P3,parietal,1.032
011,passive,P3,frontal,-5.198
011,passive,Late,occipital,6.673
011,passive,Late,posterior,5.952
011,passive,Late,parietal,-0.002
011,passive,Late,frontal,-4.221
012,active,P1,occipital,1.741
012,active,P1,posterior,1.54
012,active,P1,parietal,-2.196
012,active,P1,frontal,-4.131
012,active,N1,occipital,8.611
012,active,N1,posterior,9.962
012,active,N1,parietal,4.173
012,active,N1,frontal,-6.112
012,active,P2,occipital,11.658
012,active,P2,posterior,12.425
012,active,P2,parietal,2.875
012,active,P2,frontal,-12.306
012,active,P3,occipital,7.442
012,active,P3,posterior,8.151
012,active,P3,parietal,1.39
012,active,P3,frontal,-12.277
012,active,Late,occipital,3.855
012,active,Late,posterior,4.545
012,active,Late,parietal,1.232
012,active,Late,frontal,-6.0
