subject,block_type,n_fix,mean_fix_dur,duration_s,fix_rate,n_sacc,mean_sacc_amp,mean_sacc_pv,sacc_rate,pupil_mean,pupil_sd
1,active,2860,251.03041958041953,895.3419999999994,3.194310107199262,2861,323.5268057693674,287.1479552111314,3.1954269988451363,1627.856079950587,333.6056785757
1,constant,2709,252.5009228497615,896.7449999999994,3.020925681213725,2704,280.6201176387441,310.90765547047,3.015349960133596,1675.4713900010456,325.3727413050444
1,passive,2800,232.6767857142848,897.153999999999,3.120980344511648,2801,337.5388044535745,302.6331666971436,3.1220949803489737,1332.705962787764,340.72951547367916
2,active,2140,365.20373831775385,919.5629999999994,2.3271923728988675,2139,225.00715822520783,241.69079021830152,2.3261048998274196,2051.579622631977,415.3181390145903
2,constant,1808,349.1642699115065,921.0190000000002,1.9630431076883317,1807,166.42182367300535,200.2144992920201,1.961957353757088,2056.3969139048136,372.300608454153
2,passive,1709,286.18080748975706,921.6769999999996,1.854228759098904,1710,200.6900893999228,226.8763742735511,1.8553137378929936,1583.7012944749144,418.6364079141485
3,active,2306,279.9071986123148,746.0130000000001,3.0910989486778373,2306,234.92417253363084,197.16626199968772,3.0910989486778373,1389.5884977723454,283.1242693652084
3,constant,2270,284.0982378854654,747.4550000000005,3.03697212541223,2270,189.6184920904367,178.89616743467977,3.03697212541223,1379.0765090726477,251.9535929023908
3,passive,2171,298.81897742975787,749.2249999999999,2.8976609162801563,2170,205.06718773755995,194.0155759872929,2.896326203743869,1442.643503584599,301.3048319446236
4,active,3664,342.29667030567214,1417.7579999999998,2.5843620702545853,3667,211.69794846037024,163.03239703379958,2.586478087233506,2001.0556442859413,465.46752947786155
4,constant,2401,521.6834652228212,1419.191,1.6918089249438588,2402,146.65168028386853,169.91044958306787,1.6925135517347558,2581.979627885933,626.8219360530126
4,passive,3204,392.9119850187232,1420.924,2.2548707742286007,3205,191.75305823446536,165.37990648266677,2.2555745416362876,2100.7557118549075,603.2881171693417
5,active,1858,305.7502691065671,720.774,2.5777844372854735,1859,243.51451216958907,226.72705771090716,2.579171834722118,1959.6677164610503,392.18362261482616
5,constant,1566,376.3326947637295,722.009,2.16894803250375,1566,90503.26218400012,234.94463606842936,2.16894803250375,2529.851186157103,378.89850734971907
5,passive,1770,329.29830508474834,723.3209999999997,2.4470463321264013,1772,205.0174021047752,211.6854965347738,2.449811356230499,1885.2820354507471,371.3491750135511
6,active,1030,307.7155339805811,408.7370000000001,2.5199578212885054,1030,165.1802942707307,192.17980551117833,2.5199578212885054,2608.583581177325,325.16938775814225
6,constant,1062,253.5122410546148,409.9039999999998,2.590850540614389,1062,144.90095884649216,194.6473633394403,2.590850540614389,3303.7920600096004,403.01194592066395
6,passive,1156,244.18598615917037,411.27199999999993,2.8107918846894515,1156,129.4461611011562,160.9703285075389,2.8107918846894515,2601.515336309657,328.4379790767903
7,active,1354,275.6750369276222,457.9939999999999,2.9563706074752076,1352,226.68571452414648,223.09134594223204,2.952003738040237,2043.0812900400977,384.48604581507146
7,constant,1076,332.29553903345646,459.39499999999987,2.3422109513599416,1077,237.01088477168335,260.6646240574404,2.344387727337042,2320.728105042417,411.96754107175
7,passive,1158,326.2253886010381,460.677,2.5136918057554425,1155,222.48637111781792,225.46043350087615,2.507179650818252,1988.5087951011587,424.569491293611
8,active,864,270.6574074074058,331.3449999999999,2.607554059967708,863,240.29380680410137,257.6288532376428,2.6045360575834864,1504.762093786901,324.1026704895295
8,constant,806,213.13895781638024,332.3409999999998,2.425219879581516,806,221.4863256943123,220.140943179947,2.425219879581516,1392.1870927959792,335.8546748258243
8,passive,943,242.29268292682997,333.5319999999998,2.8273149203074985,945,218.77080859610837,209.12296301397697,2.833311346437525,1293.5447739725569,273.7015047261936
9,active,1847,291.3069842988651,678.4779999999998,2.722269550375989,1850,261.51334678375764,268.5323781812513,2.72669121180053,1175.197817829196,225.9290431146368
9,constant,1585,332.6094637224038,679.7010000000004,2.331907706476817,1589,243.77219925051273,260.853555215988,2.337792647060986,1055.8883497799295,204.971498784278
9,passive,1743,303.91279403327735,680.7810000000004,2.5602947203285624,1744,191.71917370610325,217.32998859226157,2.561763621487672,962.1310063643596,208.57628410945108
10,active,2345,376.3773987206827,996.9840000000004,2.352093915248388,2345,222.33066420821748,148.9375267712038,2.352093915248388,1531.2468475091082,307.78593589989765
10,constant,1977,445.8765806777969,998.4059999999996,1.9801563692525892,1980,136.71639229265665,144.92065661073934,1.9831611588872669,1478.5334750353566,216.9205114413122
10,passive,2073,435.10660877954734,998.9709999999998,2.0751353142383517,2074,176.20308240311792,133.61441637993778,2.076136344298283,1320.7833702507446,256.9322516205962
11,active,951,482.2807570977917,497.21,1.912672713742684,951,101.69501465100151,135.4837014070946,1.912672713742684,1912.0530159345876,380.0650151495188
11,constant,1108,408.5433212996398,498.441,2.2229310991672033,1107,89.63100204254627,148.96711827099807,2.2209248436625395,2002.2662954430664,279.01377073445656
11,passive,1086,420.7928176795603,499.9390000000002,2.1722650163319916,1085,98.53070797098476,135.762304265598,2.17026477230222,1625.4867513426314,358.76057254662146
12,active,1403,330.94297933000706,537.3949999999999,2.6107425636636,1405,238.58263995677285,164.04384364606648,2.6144642209175752,1550.3489842862607,344.20048808878477
12,constant,1286,365.1135303265961,538.6770000000006,2.387330441062081,1288,207.23518509754217,150.80349381369834,2.3910432411259412,1723.4926413677033,433.0712711012352
12,passive,1263,371.3024544734781,540.4909999999999,2.336764164435671,1265,193.11951106722833,145.606719205502,2.340464503571753,1454.292623414521,407.87284012064447
13,active,1379,277.3654822335021,475.5119999999999,2.9000319655445086,1378,265.8990457797056,219.4885341826994,2.89792896919531,2219.135618420263,452.5224545883844
13,constant,1319,279.1849886277482,476.7070000000001,2.7668987449313724,1318,179.44707074478222,218.42678282510528,2.7648010203332443,1953.0821440994416,402.9457653707486
13,passive,1449,252.44168391994512,477.9440000000003,3.0317359355907785,1454,194736.43601486407,213.200275240115,3.042197412249132,1800.8772459324557,375.1994191408569
14,active,1283,349.5276695245525,523.8979999999998,2.4489499864477446,1284,237.08649065582583,207.52928348493725,2.4508587549484835,1816.5085702679953,313.1574396381715
14,constant,895,507.6592178770959,525.1889999999999,1.704148411333825,894,215.9566735984174,205.0520133097433,1.7022443348965806,1938.9865106835389,393.46046868029663
14,passive,1195,370.7799163179914,526.7309999999998,2.268710214511773,1195,228.09927430258992,209.1105441424637,2.268710214511773,1662.8814634466544,313.52712988871275
17,active,1555,314.8559485530531,591.6969999999999,2.628034281059394,1552,289.4458208577924,259.85283522261784,2.6229641184592793,1764.7637751469144,365.65535766391463
17,constant,1266,390.28593996840374,592.9169999999998,2.1352061081061944,1262,209.2122960756508,219.7585579570613,2.1284598012875335,1673.5701550643234,346.7274354100975
17,passive,1467,336.3708248125446,594.267,2.468587352149791,1466,262.7738929478186,257.37141869142954,2.466904606851802,1513.8438193463346,344.1241761959738
18,active,4435,273.03089064261354,1454.5529999999992,3.0490466830703333,4433,253.53315532086265,232.12095650867175,3.0476716902031087,1708.9166708311857,316.79821730473026
18,constant,3553,341.403321137066,1455.788999999999,2.4406009387349417,3555,207.34778063068396,233.83122344976067,2.441974764200033,1723.804552806435,332.81336107604113
18,passive,4267,286.4923834075406,1456.751999999999,2.929119026436897,4270,240.5054100037044,225.09548005633388,2.9311784023636163,1548.0027556071125,335.79045159769834
19,active,1263,345.50197941409465,509.6050000000001,2.47839012568558,1266,111973.22680732752,210.8072668259366,2.4842770380981345,2143.8687844135547,417.8556440876136
19,constant,808,570.4962871287162,510.80399999999986,1.581820032732712,808,153.49913950560466,156.4883664633968,1.581820032732712,2235.7063631445503,508.6977656106339
19,passive,878,509.2084282460102,512.8379999999997,1.71204161938078,878,206.27669551096852,188.6607061659828,1.71204161938078,2078.8518655871194,414.3427066405359
20,active,2905,251.1087779690214,874.83,3.320645153915618,2905,223.35958300602545,187.42041291804813,3.320645153915618,2768.5709969506465,590.2930040593777
20,constant,2575,291.38640776698946,875.9800000000005,2.939564830247264,2579,151.45455568354035,156.03827072179055,2.9441311445466773,2536.66482948229,486.6664739315543
20,passive,2776,269.09293948126157,877.3619999999999,3.16403035463127,2776,189.031700703244,167.43526645490005,3.16403035463127,2334.214783023366,491.1518653495592
21,active,2109,284.9132290184899,717.2869999999999,2.940245675719761,2108,225.5455493215208,176.04852937159094,2.9388515336260106,1826.3503482023043,358.68959247794487
21,constant,1472,343.0258152173902,718.49,2.048741109827555,1475,187.96542862332532,224.47484774217767,2.052916533285084,2034.292888188069,417.9157744149026
21,passive,1741,286.82940838598364,720.27,2.417149124633818,1739,163.55295671621883,193.1594591694635,2.4143723881322283,1788.2125066190747,387.78903146450926
22,active,2797,287.1776903825528,939.0759999999998,2.9784596773850045,2798,242.8583378096649,154.4879915402394,2.979524553923219,2579.944209629287,555.8362733609268
22,constant,1954,416.1438075742086,940.5329999999996,2.0775453918150673,1956,178.74893692217907,230.34141092590517,2.0796718456449703,3426.54923695342,685.7597915149767
22,passive,2580,312.7445736434117,940.9739999999996,2.7418398382952143,2582,199.61442379858048,177.77467076266856,2.7439652955342027,2836.044259972181,701.021016369482
24,active,1920,286.43802083333554,627.7440000000003,3.058571647040831,1922,240.2075862950476,197.9160250347189,3.061757659173165,1753.286223312129,322.0361241385645
24,constant,1744,314.64793577981584,628.9800000000002,2.772743171483989,1747,174.79773192180116,167.22512856250364,2.7775127984991563,1566.7095166430452,267.14096735932264
24,passive,1891,285.40719196192407,630.3590000000005,2.9998778473853767,1893,194.61340176814485,178.58705752776277,3.0030506425703427,1506.612919703727,317.85867792754846
25,active,2352,300.1271258503395,800.835,2.936934574537826,2350,209.20323990962032,161.54395736207354,2.9344371811921306,2352.770824417334,484.9394001867304
25,constant,1979,366.4416371905032,802.0819999999994,2.467328776858228,1980,142.51974890051395,138.41409091756802,2.46857553217751,2494.982391975619,450.23404167230206
25,passive,2328,303.3264604811017,803.4609999999996,2.8974648427241663,2330,190.8741570716142,160.85150198875067,2.899954073688706,2203.9379514767,423.5476693734457
26,active,1702,226.0781433607525,510.0569999999999,3.336881956330372,1702,83304.80504630851,217.98378374433685,3.336881956330372,1246.178456348695,230.26681902611688
26,constant,1312,188.6890243902448,511.256,2.566229051590593,1311,108088.66286918178,265.1474445810034,2.5642730843256607,1227.35312239746,163.63519009638063
26,passive,1516,230.16292875989535,512.4710000000002,2.9582161722321834,1515,159.26263029260076,203.24442235282547,2.9562648423032702,1047.3818360030948,180.07583901389384
